😊	smiling-face-with-smiling-eyes
🤣	rolling-on-the-floor-laughing
😍	smiling-face-with-heart-eyes
😎	smiling-face-with-sunglasses
😅	grinning-face-with-sweat
😈	smiling-face-with-horns
😂	face-with-tears-of-joy
😱	face-screaming-in-fear
🙄	face-with-rolling-eyes
🥲	smiling-face-with-tear
😮	face-with-open-mouth
⭕️	heavy-large-circle
☝️	index-pointing-up
💝	heart-with-ribbon
💞	revolving-hearts
🙃	upside-down-face
🤛	left-facing-fist
🤷	person-shrugging
💖	sparkling-heart
🥇	1st-place-medal
👏	clapping-hands
💯	hundred-points
😬	grimacing-face
⚜️	fleur-de-lis
🐠	tropical-fish
💪	flexed-biceps
😏	smirking-face
🤔	thinking-face
🤮	face-vomiting
🥳	partying-face
🎉	party-popper
🏅	sports-medal
💛	yellow-heart
💜	purple-heart
💨	dashing-away
😟	worried-face
😡	pouting-face
😵‍💫	dizzy-face
🤩	star-struck-
🧡	orange-heart
3️⃣	keycap:-3
❤	white-heart
🐵	monkey-face
👎	thumbs-down
💚	green-heart
🔵	blue-circle
😢	crying-face
🤎	brown-heart
🫶🏻	heart-hand
❌	cross-mark
❤️	red-heart
👍	-thumbs-up
💕	two-hearts
💙	blue-heart
🔅	dim-button
🤪	zany-face-
🥴	woozy-face
🥹	throb-face
🦁️	lion-face
🫶	heart-hand
✨️	sparkles
🌻	sunflower
🐸	frog-face
👍	thumbs-up
💋	kiss-mark
💥	collision
🛑	stop-sign
🤓	nerd-face
🥶	cold-face
🐷	pig-face
👌	OK-hand
🧭	compass
🫡	Yes-sir
🏆	trophy
🐒	monkey
👪	family
🦎	lizard
🦐	shrimp
🦪	oyster
🌱	grass
👩	woman
👻	ghost
🪑	chair
🦢	swan
🦶	foot
🥚	egg
